Date,Open,High,Low,Close,Adj Close,Volume
2014-09-24,7985.15,8007.9,7865.85,7946.6,7946.6,30993887
2014-09-25,7949.45,7962.85,7833.55,7867.1,7867.1,34552947
2014-09-26,7837.45,7947,7755.1,7933.95,7933.95,34480180
2014-09-29,7942.9,7953.45,7895.7,7904.3,7904.3,29225000
2014-09-30,7920.75,8017.6,7878.4,7899.35,7899.35,40527788
2014-10-01,7908.8,7950.15,7871.45,7895.2,7895.2,28769552
2014-10-07,7897.75,7952.3,7816.9,7828.25,7828.25,43779669
2014-10-08,7846.35,7893.7,7826.45,7870.75,7870.75,35354171
2014-10-09,7922,7976,7890.4,7957.6,7957.6,38353285
2014-10-10,7907.2,7907.2,7710.9,7732.35,7732.35,45154485
2014-10-13,7694.4,7743.9,7609.95,7720.7,7720.7,39414679
2014-10-14,7770.1,7770.75,7678.5,7690.55,7690.55,34700608
2014-10-16,7664.9,7758.95,7479.65,7524.35,7524.35,35975006
2014-10-17,7558.75,7638.35,7472.7,7568.8,7568.8,36707291
2014-10-20,7699.85,7752.4,7653.6,7725.75,7725.75,32224156
2014-10-21,7751.35,7792.55,7708,7765.4,7765.4,29000510
2014-10-22,7844.95,7998.45,7844.1,7991.1,7991.1,27762347
2014-10-23,8024.25,8030.9,7988.45,8000.9,8000.9,9836117
2014-10-27,8035.5,8036.4,7916.8,7939.6,7939.6,24680822
2014-10-28,7949.85,7982.15,7929.4,7972.85,7972.85,21974647
2014-10-29,8046.2,8115.55,8033.95,8103.7,8103.7,28344229
2014-10-30,8091,8162.95,8059.1,8128.9,8128.9,39576328
2014-10-31,8156.2,8264.85,8121.8,8246.9,8246.9,33082331
2014-11-03,8193.7,8201.95,8124.45,8172.85,8172.85,34377658
2014-11-05,8190.9,8220.05,8161.1,8183.95,8183.95,31314183
2014-11-07,8169.35,8207.95,8111.4,8118.4,8118.4,52101039
2014-11-10,8128.45,8179.9,8057.65,8106.3,8106.3,50441528
2014-11-11,8133.8,8186.05,8126.55,8172.8,8172.8,45792751
2014-11-12,8200.1,8315.7,8200,8285.25,8285.25,73900398
2014-11-13,8320.5,8337.3,8221.8,8251.25,8251.25,58541168
2014-11-14,8272.95,8328.25,8267.7,8285.05,8285.05,36409429
2014-11-17,8271.05,8414.35,8271.05,8401.2,8401.2,34122411
2014-11-18,8426.95,8455.8,8416.05,8441.7,8441.7,37289811
2014-11-19,8470.05,8495.45,8334.45,8378.7,8378.7,38120816
2014-11-20,8425.9,8430,8278.05,8334.2,8334.2,31497312
2014-11-21,8359.2,8426.5,8341,8378.8,8378.8,26062406
2014-11-24,8386.6,8439.1,8364.6,8393.7,8393.7,32947169
2014-11-25,8412.85,8420.1,8239.85,8301.85,8301.85,71601785
2014-11-26,8287.8,8344.05,8244.25,8333.75,8333.75,37880425
2014-11-27,8326.45,8390.3,8312.4,8378.75,8378.75,46940918
2014-11-28,8411.65,8564.7,8411.65,8540.25,8540.25,42630399
2014-12-01,8579.25,8604.05,8533,8556.1,8556.1,35876899
2014-12-02,8530.5,8530.5,8447.2,8481.65,8481.65,35228446
2014-12-03,8540.75,8604.7,8540.75,8594.9,8594.9,43114131
2014-12-04,8647.35,8673.2,8558.35,8587.7,8587.7,25079395
2014-12-05,8600.95,8630.7,8574.25,8585.95,8585.95,18790318
2014-12-08,8612.05,8617.45,8436.4,8450.35,8450.35,19721913
2014-12-09,8446.9,8484.2,8326.5,8351.85,8351.85,29510555
2014-12-10,8304.65,8414.55,8302.95,8389.55,8389.55,24782168
2014-12-11,8372.55,8404.15,8253.25,8318.75,8318.75,19573063
2014-12-12,8304.6,8357.9,8269.7,8284.35,8284.35,28025849
2014-12-15,8237.15,8302.7,8210.95,8260.75,8260.75,25008366
2014-12-16,8205.9,8246.65,8085.85,8109.5,8109.5,31387696
2014-12-17,8048.95,8112.85,7923,7977.55,7977.55,48723678
2014-12-18,8075.35,8171,8042.45,8156.1,8156.1,38720056
2014-12-19,8231.9,8326.7,8148.1,8168.4,8168.4,34267321
2014-12-22,8194.7,8302.8,8161.5,8286.7,8286.7,20389540
2014-12-23,8307.7,8358,8219.55,8259.5,8259.5,21404353
2014-12-24,8273.85,8303.3,8169.3,8184.35,8184.35,45502917
2014-12-26,8193.3,8244.65,8139.75,8203.25,8203.25,16812169
2014-12-29,8231.95,8344.5,8231.95,8323.1,8323.1,22928257
2014-12-30,8347.2,8352.1,8290.55,8302.35,8302.35,20062258
2014-12-31,8232.15,8306.4,8211.3,8281.2,8281.2,34175522
2015-01-01,8271.25,8326.75,8262.7,8318.8,8318.8,21449649
2015-01-02,8322.6,8414.3,8322.6,8365.4,8365.4,32745811
2015-01-05,8366.4,8510.6,8366.4,8467.95,8467.95,68596722
2015-01-06,8400,8400,8228.05,8248.2,8248.2,60234157
2015-01-07,8226.75,8282.65,8189.2,8254.7,8254.7,55180125
2015-01-08,8330.5,8406.3,8330.5,8397.3,8397.3,55471881
2015-01-09,8467.95,8476.75,8320.45,8397,8397,37358973
2015-01-12,8387.05,8422.75,8323.9,8409.55,8409.55,27612972
2015-01-13,8415.45,8462.15,8363.95,8398.8,8398.8,28975113
2015-01-14,8408.5,8483,8381.3,8427.7,8427.7,29871862
2015-01-15,8541,8655.95,8508.8,8614.7,8614.7,31370311
2015-01-16,8604.6,8640.05,8567.15,8623.6,8623.6,38554511
2015-01-19,8629.4,8704.6,8624.9,8694.9,8694.9,23786423
2015-01-20,8704.9,8769.2,8675.15,8760.9,8760.9,25287270
2015-01-21,8783.5,8809.95,8720.2,8779.95,8779.95,44915038
2015-01-22,8797.2,8857.05,8784.45,8842,8842,33636057
2015-01-23,8932.75,9001.55,8894.15,8983.1,8983.1,37828373
2015-01-27,9026.7,9110.5,9004.45,9099.6,9099.6,31886427
2015-01-28,9062.25,9093.45,8995.35,9043.15,9043.15,46359902
2015-01-29,9043,9062.8,8987.4,9049.7,9049.7,59777173
2015-01-30,9085.65,9100.55,8909.75,8930.85,8930.85,41610496
2015-02-02,8951.8,9004.75,8904.65,8976.1,8976.1,31032764
2015-02-03,9030.9,9058.75,8882.9,8919.7,8919.7,36546525
2015-02-04,8946.85,8946.85,8795.9,8812.5,8812.5,24684303
2015-02-05,8818.45,8890.75,8725.9,8749.65,8749.65,28381454
2015-02-06,8661.85,8669.95,8483.05,8496.3,8496.3,36369930
2015-02-09,8408.25,8408.25,8276.25,8294.45,8294.45,47123923
2015-02-10,8271.5,8478.7,8263.4,8436.05,8436.05,62169228
2015-02-11,8478.65,8532.2,8411.8,8514.15,8514.15,41710477
2015-02-12,8585.15,8677.1,8579.05,8654.3,8654.3,41715585
2015-02-13,8688.35,8770.7,8632.05,8759,8759,36434134
2015-02-16,8797.95,8880.95,8760.4,8792.55,8792.55,32198870
2015-02-18,8783.9,8899.5,8735.5,8884.85,8884.85,49844680
2015-02-19,8929.9,8967.4,8809.6,8871.65,8871.65,46390468
2015-02-20,8910.5,8927.35,8856.55,8874.65,8874.65,28477472
2015-02-23,8907.35,8916.5,8793.25,8804.15,8804.15,26486494
2015-02-24,8830.85,8831.15,8727.7,8777.7,8777.7,32087371
2015-02-25,8811.2,8838,8768.75,8781.3,8781.3,24354373
2015-02-26,8791.95,8796.35,8630.8,8640.7,8640.7,37220248
2015-02-27,8696.45,8866.85,8690.05,8841.8,8841.8,30395253
2015-02-28,8857.6,8978.5,8706.6,8935.35,8935.35,36652791
2015-03-02,9000.8,9028.2,8820.35,8919.55,8919.55,48706383
2015-03-03,8890.8,8890.8,8792,8838.8,8838.8,32593397
2015-03-04,8911.05,8952.9,8755.45,8777.85,8777.85,35951610
2015-03-05,8807.95,8839.65,8755.35,8825.65,8825.65,28639618
2015-03-09,8789.1,8804.55,8706.4,8727.05,8727.05,26827852
2015-03-10,8756.9,8841.6,8725.55,8756.4,8756.4,33012435
2015-03-11,8763.1,8805.5,8710.2,8761.5,8761.5,32014558
2015-03-12,8798,8870.05,8790.1,8851.65,8851.65,24481146
2015-03-13,8906.65,8906.65,8700,8721.75,8721.75,36880681
2015-03-16,8732.45,8743.35,8676,8697.85,8697.85,27930759
2015-03-17,8765.7,8857.95,8736.55,8807.4,8807.4,52060480
2015-03-18,8810.25,8812.3,8718.9,8748.75,8748.75,23632804
2015-03-19,8813.7,8846.6,8700.3,8719.55,8719.55,26126195
2015-03-20,8698.15,8698.3,8572.7,8585.95,8585.95,28094300
2015-03-23,8604.3,8656.4,8560.1,8597.8,8597.8,18626567
2015-03-24,8599.65,8604.65,8463.35,8480.8,8480.8,24213521
2015-03-25,8511.7,8548.2,8485.05,8515.65,8515.65,25823774
2015-03-26,8451.7,8493.35,8364,8385.35,8385.35,37383375
2015-03-27,8415.1,8453.85,8312.4,8435,8435,26156080
2015-03-30,8487.4,8584.55,8456.4,8574.45,8574.45,32219096
2015-03-31,8605.8,8703.7,8573.85,8621.75,8621.75,41827698
2015-04-01,8622.1,8723.4,8598.55,8710.75,8710.75,33570407
2015-04-06,8749.5,8810.45,8706.95,8792,8792,27005213
2015-04-07,8813.65,8823.05,8715,8794.5,8794.5,27130942
2015-04-08,8843.45,8876.35,8823.65,8838.75,8838.75,30006763
2015-04-09,8867.45,8873,8781.7,8848.15,8848.15,36899799
2015-04-10,8852.25,8893.4,8832,8879,8879,22787825
2015-04-13,8885.6,8888.15,8801.1,8817.85,8817.85,27719563
2015-04-15,8803.95,8803.95,8660.3,8682,8682,33589960
2015-04-16,8704.1,8730.15,8584.95,8666.4,8666.4,25892974
2015-04-17,8654.1,8658.7,8547.35,8558.2,8558.2,22038556
2015-04-20,8587.9,8589.5,8344.6,8398.6,8398.6,28355076
2015-04-21,8406.3,8444.3,8247.1,8284.9,8284.9,30698660
2015-04-22,8316.2,8317.7,8133.65,8280.3,8280.3,27864258
2015-04-23,8337.65,8360.05,8194.9,8228.8,8228.8,28867131
2015-04-24,8242.5,8250.3,8132.9,8164.45,8164.45,29516929
2015-04-27,8193,8205.55,8016.6,8118.65,8118.65,35648162
2015-04-28,8133.35,8334.7,8117.5,8315.4,8315.4,34357640
2015-04-29,8335.3,8341.4,8254,8278.5,8278.5,28440444
2015-04-30,8264.45,8265.4,8171.8,8188.2,8188.2,49122244
2015-05-04,8260.4,8350.3,8244,8330.2,8330.2,40244385
2015-05-05,8350.05,8381.75,8295.4,8327.2,8327.2,24057655
2015-05-06,8304.9,8314.6,8064.9,8089.85,8089.85,34499811
2015-05-07,8065.45,8102.75,7917.75,7986.25,7986.25,40707212
2015-05-08,8060.5,8212.25,8058.1,8199.25,8199.25,27809525
2015-05-11,8273.1,8439.05,8273.1,8427.55,8427.55,41768288
2015-05-12,8422.7,8422.7,8256.05,8277.5,8277.5,61323141
2015-05-13,8348.95,8448.6,8269.2,8413.4,8413.4,55575933
2015-05-14,8404.45,8495.65,8307.2,8485.5,8485.5,35435926
2015-05-15,8508,8570.8,8498.5,8539.55,8539.55,29914270
2015-05-18,8537.75,8614.05,8494.65,8600.05,8600.05,26501022
2015-05-19,8579.25,8637.5,8513.95,8531.3,8531.3,26001796
2015-05-20,8554.05,8582.4,8465.85,8484.8,8484.8,27544591
2015-05-21,8498.15,8554.65,8462.7,8549.6,8549.6,29246472
2015-05-22,8560.25,8589,8531.15,8581.65,8581.65,22421526
2015-05-25,8557.7,8622.9,8533,8565.1,8565.1,17042424
2015-05-26,8575,8578.9,8520,8548.15,8548.15,21523103
2015-05-27,8410.7,8447.45,8347.15,8369.9,8369.9,34298711
2015-05-28,8392.8,8427.4,8329.05,8379.3,8379.3,36447123
2015-05-29,8398.6,8556.15,8351.2,8536.75,8536.75,44463665
2015-06-01,8527,8548.8,8465.6,8509.35,8509.35,22243573
2015-06-02,8515.35,8521.25,8308,8325.05,8325.05,27439454
2015-06-03,8314.8,8321.75,8108.6,8191.6,8191.6,33223403
2015-06-04,8193.05,8195.9,8064.4,8130.45,8130.45,26795771
2015-06-05,8089.55,8160.15,8046.9,8092.3,8092.3,28505738
2015-06-08,8085.5,8085.5,7988.75,8006.15,8006.15,22993978
2015-06-09,7968.05,8014.65,7934.6,7953.65,7953.65,28112385
2015-06-10,7963.35,8120.6,7948.4,8104.05,8104.05,27782707
2015-06-11,8137.6,8137.6,7892.5,7909,7909,35939982
2015-06-12,7889.7,7925.25,7843.45,7905.25,7905.25,25924119
2015-06-15,7939.95,8026.65,7919.4,7996.2,7996.2,21460602
2015-06-16,8015.55,8116,7947.5,8090.85,8090.85,20334544
